# inner_x, inner_y, inner_vel, center_x, center_y, center_vel, outer_x, outer_y, outer_vel, race_x, race_y, race_vel
-24.766425,-6.093363,7.998986,-24.865086,-6.689440,7.998989,-24.969772,-7.287135,7.998999,-24.370225,-7.408050,8.000000
-25.094747,-6.181662,7.998991,-25.196629,-6.778602,7.999003,-25.304615,-7.377181,7.999019,-24.756317,-7.512297,8.000000
-25.423071,-6.269956,7.999009,-25.528172,-6.867759,7.999023,-25.639459,-7.467223,7.999036,-25.142409,-7.616543,8.000000
-25.751396,-6.358248,7.999027,-25.859717,-6.956914,7.999041,-25.974304,-7.557262,7.999062,-25.528505,-7.720780,8.000000
-26.079722,-6.446535,7.999047,-26.191263,-7.046064,7.999068,-26.309150,-7.647297,7.999081,-25.721558,-7.772866,8.000000
-26.408049,-6.534819,7.999074,-26.522810,-7.135211,7.999084,-26.643997,-7.737329,7.999109,-26.107747,-7.876759,8.000000
-26.736376,-6.623100,7.999085,-26.854357,-7.224355,7.999118,-26.978845,-7.827357,7.999134,-26.494163,-7.979777,8.000000
-27.064705,-6.711377,7.999131,-27.185906,-7.313495,7.999131,-27.313694,-7.917382,7.999126,-26.687519,-8.030733,8.000000
-27.393034,-6.799652,7.999119,-27.517455,-7.402632,7.999139,-27.648544,-8.007403,7.998968,-27.074685,-8.130944,8.000000
-27.721365,-6.887922,7.999166,-27.849006,-7.491766,7.998876,-27.983394,-8.097421,7.997790,-27.462660,-8.227932,8.000000
-28.049696,-6.976190,7.998776,-28.180557,-7.580897,7.997571,-28.318246,-8.187437,7.995653,-27.657037,-8.274852,8.000000
-28.378028,-7.064455,7.997422,-28.512108,-7.670025,7.995307,-28.653098,-8.277449,7.992419,-28.046706,-8.364810,8.000000
-28.706360,-7.152717,7.994784,-28.843661,-7.759150,7.992008,-28.987951,-8.367459,7.988397,-28.437741,-8.448611,8.000000
-29.034694,-7.240976,7.991995,-29.175214,-7.848272,7.987857,-29.322800,-8.457481,7.983188,-28.633816,-8.487836,8.000000
-29.363027,-7.329234,7.986606,-29.506763,-7.937411,7.982586,-29.657637,-8.547551,7.976942,-29.027126,-8.560189,8.000000
-29.691356,-7.417512,7.982924,-29.838298,-8.026602,7.976440,-29.992450,-8.637708,7.971806,-29.422007,-8.623420,8.000000
-30.019670,-7.505845,7.975528,-30.169809,-8.115883,7.970637,-30.327229,-8.727993,7.958585,-29.818405,-8.676318,8.000000
-30.347957,-7.594274,7.966898,-30.501285,-8.205292,7.952146,-30.661964,-8.818438,7.837707,-30.017119,-8.698512,8.000000
-30.676213,-7.682821,7.929351,-30.832718,-8.294862,7.829974,-30.996645,-8.909089,7.787783,-30.415481,-8.733624,8.000000
-31.004418,-7.771555,7.843166,-31.164096,-8.384635,7.784785,-31.331261,-8.999973,7.488833,-30.814799,-8.755338,8.000000
-31.332582,-7.860444,7.717095,-31.495411,-8.474639,7.475163,-31.665825,-9.091040,7.323934,-31.014668,-8.760784,8.000000
-31.660667,-7.949623,7.297658,-31.826677,-8.564819,7.315266,-32.000651,-9.181193,6.882899,-31.414567,-8.760079,8.000000
-31.988715,-8.038936,7.213378,-32.158236,-8.653934,6.876196,-32.336526,-9.267220,6.323892,-31.814098,-8.742880,8.000000
-32.317131,-8.126896,7.142068,-32.490858,-8.738962,6.295996,-32.672667,-9.352445,5.736614,-32.013458,-8.727713,8.000000
-32.646445,-8.211391,6.547555,-32.823634,-8.823404,5.701470,-33.005788,-9.448559,5.145090,-32.410894,-8.683480,8.000000
-32.976301,-8.293834,5.951316,-33.153445,-8.919016,5.107832,-33.337570,-9.549235,4.553030,-32.805666,-8.619718,8.000000
-33.302148,-8.391384,5.364967,-33.481738,-9.018885,4.515812,-33.675082,-9.629062,3.973039,-33.001644,-8.580151,8.000000
-33.627991,-8.487379,4.793095,-33.816055,-9.097939,3.953418,-34.020549,-9.667801,3.514039,-33.390005,-8.484891,8.000000
-33.956164,-8.577652,4.354503,-34.158785,-9.122725,3.532813,-34.367284,-9.645562,3.013106,-33.772172,-8.367252,8.000000
-34.290245,-8.545373,4.093385,-34.493427,-9.045576,3.108876,-34.701505,-9.549685,2.805691,-34.146491,-8.226719,8.000000
-34.561874,-8.340840,4.184751,-34.789135,-8.870493,3.081343,-35.008367,-9.386189,2.529442,-34.330323,-8.148054,8.000000
-34.781334,-8.082107,4.419955,-35.039213,-8.635093,3.152693,-35.280574,-9.170927,2.640867,-34.690782,-7.975009,8.000000
-34.964620,-7.795167,4.305412,-35.252639,-8.366078,3.413866,-35.519448,-8.919323,3.076941,-35.041276,-7.782546,8.000000
